Day,Volume,,,,,
4/16/2023,148,,,,,
4/17/2023,76,,,,,
4/18/2023,52,,,,,
4/19/2023,49,,,,,
4/20/2023,18,,,,,
4/21/2023,491,,,,,
4/22/2023,94,,,,,
4/23/2023,184,,,,,
4/24/2023,,,,,,
4/25/2023,,,,,,
4/26/2023,,,,,,
4/27/2023,,,,,,
4/28/2023,,,,,,
4/29/2023,,,,,,3.600858369
4/30/2023,,,,,,
5/1/2023,,,,,,
5/2/2023,,,,,,
5/3/2023,,,,,,
5/4/2023,,,,,,
5/5/2023,,,,,,
5/6/2023,,,,,,
5/7/2023,,,,,,
5/8/2023,,,,,,
5/9/2023,,,,,,
5/10/2023,,,,,,
5/11/2023,,,,,,
5/12/2023,,,,,,
5/13/2023,,,,,,
5/14/2023,,,,,,
5/15/2023,,,,,,
5/16/2023,,,,,,
5/17/2023,,,,,,
5/18/2023,,,,,,
5/19/2023,,,,,,
5/20/2023,,,,,,
5/21/2023,,,,,,
5/22/2023,,,,,,
5/23/2023,,,,,,
5/24/2023,,,,,,
5/25/2023,,,,,,
5/26/2023,,,,,,
5/27/2023,,,,,,
5/28/2023,,,,,,
5/29/2023,,,,,,
5/30/2023,,,,,,
5/31/2023,,,,,,
6/1/2023,,,,,,
6/2/2023,,,,,,
6/3/2023,,,,,,
6/4/2023,,,,,,
6/5/2023,,,,,,
6/6/2023,,,,,,
6/7/2023,,,,,,
6/8/2023,,,,,,
6/9/2023,,,,,,
6/10/2023,,,,,,
6/11/2023,,,,,,
6/12/2023,,,,,,
6/13/2023,,,,,,
6/14/2023,,,,,,
6/15/2023,,,,,,
6/16/2023,,,,,,
6/17/2023,,,,,,
6/18/2023,,,,,,
6/19/2023,,,,,,
6/20/2023,,,,,,
6/21/2023,,,,,,
6/22/2023,,,,,,
6/23/2023,,,,,,
6/24/2023,,,,,,
6/25/2023,,,,,,
6/26/2023,,,,,,
6/27/2023,,,,,,
6/28/2023,,,,,,
6/29/2023,,,,,,
6/30/2023,,,,,,
7/1/2023,,,,,,
7/2/2023,,,,,,
7/3/2023,,,,,,
7/4/2023,,,,,,
7/5/2023,,,,,,
7/6/2023,,,,,,
7/7/2023,,,,,,
7/8/2023,,,,,,
7/9/2023,,,,,,
7/10/2023,,,,,,
7/11/2023,,,,,,
7/12/2023,,,,,,
7/13/2023,,,,,,
7/14/2023,,,,,,
7/15/2023,,,,,,
7/16/2023,,,,,,
7/17/2023,,,,,,
7/18/2023,,,,,,
7/19/2023,,,,,,
7/20/2023,,,,,,
7/21/2023,,,,,,
7/22/2023,,,,,,
7/23/2023,,,,,,
7/24/2023,,,,,,
7/25/2023,,,,,,
7/26/2023,,,,,,
7/27/2023,,,,,,
7/28/2023,,,,,,
7/29/2023,,,,,,
7/30/2023,,,,,,
7/31/2023,,,,,,
8/1/2023,,,,,,
8/2/2023,,,,,,
8/3/2023,,,,,,
8/4/2023,,,,,,
8/5/2023,,,,,,
8/6/2023,,,,,,
8/7/2023,,,,,,
8/8/2023,,,,,,
8/9/2023,,,,,,
8/10/2023,,,,,,
8/11/2023,,,,,,
8/12/2023,,,,,,
8/13/2023,,,,,,
8/14/2023,,,,,,
